COUNTY,year,n,nMMR,nDTP,nPolio,nPBE,nPME,cases,rates,avg_DTP,cases/n,avg_PBE/PME
SAN JOAQUIN,2011,11246,10973,10960,10977,127,8,27,3.9,0.974568736,0.002400854,0.012004268
SAN JOAQUIN,2012,11139,10923,10846,10864,111,8,15,2.15,0.973696023,0.00134662,0.010683185
SAN JOAQUIN,2013,10977,10610,10598,10615,158,14,26,3.69,0.965473262,0.002368589,0.015669126
SAN JOAQUIN,2014,11697,11295,11277,11323,124,21,211,29.98,0.964093357,0.018038813,0.012396341
SAN LUIS OBISPO,2010,2659,2379,2387,2369,132,7,371,137.54,0.897705904,0.139526138,0.052275291
SAN LUIS OBISPO,2011,2776,2455,2482,2462,123,10,15,5.55,0.894092219,0.005403458,0.047910663
SAN LUIS OBISPO,2012,3000,2687,2689,2695,172,4,14,5.17,0.896333333,0.004666667,0.058666667
SAN LUIS OBISPO,2013,2864,2506,2502,2491,230,5,17,6.25,0.873603352,0.005935754,0.082053073
SAN LUIS OBISPO,2014,2928,2619,2620,2626,155,11,44,16.19,0.894808743,0.015027322,0.056693989
SAN MATEO,2010,9110,8334,8337,8308,186,18,191,26.54,0.915148189,0.020965971,0.022392975
SAN MATEO,2011,9345,8702,8708,8724,207,17,58,7.97,0.931835206,0.006206528,0.023970037
SAN MATEO,2012,9489,8899,8929,8909,200,17,23,3.13,0.940984298,0.002423859,0.022868585
SAN MATEO,2013,9299,8677,8640,8734,208,15,104,14,0.929132165,0.011183998,0.023981073
SAN MATEO,2014,9284,8804,8807,8874,171,17,127,17.1,0.948621284,0.013679449,0.020249892
SANTA BARBARA,2010,5901,5557,5589,5565,189,11,66,15.57,0.947127605,0.011184545,0.033892561
SANTA BARBARA,2011,5734,5444,5444,5442,166,11,18,4.23,0.949424486,0.00313917,0.030868504
SANTA BARBARA,2012,5958,5606,5550,5555,252,8,11,2.58,0.931520645,0.001846257,0.043638805
SANTA BARBARA,2013,6304,5861,5863,5885,292,7,28,6.48,0.930044416,0.004441624,0.047430203
SANTA BARBARA,2014,6594,6292,6300,6337,184,9,113,26.14,0.955414013,0.017136791,0.029269032
SANTA CLARA,2010,25329,24186,24195,24154,452,71,478,26.76,0.955229184,0.018871649,0.020648269
SANTA CLARA,2011,26044,24981,24948,24993,467,73,176,9.74,0.957917371,0.006757795,0.020734142
SANTA CLARA,2012,24734,23557,23531,23579,408,61,45,2.46,0.951362497,0.001819358,0.018961753
SANTA CLARA,2013,26021,24647,24568,24672,445,62,254,13.7,0.944160486,0.009761347,0.019484263
SANTA CLARA,2014,24460,23326,23285,23400,377,60,554,29.89,0.951962388,0.022649223,0.017865904
SANTA CRUZ,2010,3416,2874,2911,2914,326,4,87,33.05,0.852166276,0.025468384,0.096604215
SANTA CRUZ,2011,3579,3098,3104,3110,304,8,22,8.28,0.867281364,0.006146968,0.087175189
SANTA CRUZ,2012,3527,3008,3020,3010,324,9,13,4.84,0.856251772,0.003685852,0.094414517
SANTA CRUZ,2013,3602,3121,3134,3127,332,11,54,19.89,0.870072182,0.014991671,0.095224875
SANTA CRUZ,2014,3640,3146,3145,3164,328,10,161,59.3,0.864010989,0.044230769,0.092857143
